id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2021-01-22T00:11:04;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2021-01-21T19:11:24;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2021-01-21T21:20:26;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2021-01-21T14:04:51;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2021-01-22T05:27:57;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2021-01-21T16:50:03;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2021-01-21T19:46:35;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2021-01-21T09:49:14;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2021-01-21T12:38:50;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2021-01-21T13:21:15;601;74069
